Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ??mho","Future, NA",Month
5/11/2000 12:00,9354.5,0.333,8364.6,105.4,0.275,0.047,8.81,1.79,35.9,58.3,5.49,599,,5
5/11/2000 20:00,9354.83,0.5,8117.4,98.4,0.266,0.039,8.2,2.01,35.8,59.4,5.37,596,,5
5/12/2000 12:00,9355.5,0.833,7356,62.8,0.2,0.045,8.18,1.61,37,64,5.51,633,,5
5/13/2000 12:00,9356.5,1,4882.8,45.4,0.137,0.04,7.33,1.17,45.1,80.1,4.57,685,,5
5/14/2000 12:00,9357.5,0.833,4012,53.2,0.158,0.05,6.71,1.05,43.1,74.6,5.08,671,,5
5/15/2000 04:00,9358.17,0.5,2347.8,50.4,0.173,0.065,7.05,1.32,38.6,64,6.07,627,,5
5/15/2000 12:00,9358.5,0.667,2402.6,51.1,0.178,0.067,7.03,1.21,33.9,60.2,6.65,517,,5
5/16/2000 12:00,9359.5,1,2189.8,52.8,0.181,0.071,7.18,0.94,32.2,57.9,6.78,605,,5
5/17/2000 12:00,9360.5,1,2189.8,39.5,0.153,0.061,6.78,1.07,36.4,61.5,6.44,634,,5
5/18/2000 12:00,9361.5,1,2035,54.8,0.167,0.063,7.58,1.25,36.2,59.9,6.79,634,,5
5/19/2000 12:00,9362.5,0.667,4947,95.6,0.231,0.065,8.62,1.59,30.1,53.8,7.51,597,,5
5/19/2000 20:00,9362.83,0.333,10516,105.7,0.255,0.067,9.47,1.5,31,55,7.68,623,,5
5/20/2000 04:00,9363.17,0.333,12482,162.4,0.342,0.075,11.3,1.75,29.1,48.9,7.59,607,,5
5/20/2000 12:00,9363.5,0.333,12331,146.1,0.337,0.066,12.12,1.87,27.5,46.3,8,607,,5
5/20/2000 20:00,9363.83,0.333,12584,126.1,0.303,0.063,11.78,1.65,27.5,47.1,8.24,614,,5
5/21/2000 04:00,9364.17,0.333,12737,129,0.276,0.058,9.26,1.22,28.1,49.1,8.04,607,,5
5/21/2000 12:00,9364.5,0.333,11842,223.1,0.412,0.07,7.8,1.67,22.9,41.2,6.75,-9,,5
5/21/2000 20:00,9364.83,0.333,10884,185.9,0.402,0.079,7.65,1.85,21.7,39.8,6.98,501,,5
5/22/2000 04:00,9365.17,0.333,9520.3,137.3,0.337,0.07,7.81,1.64,23.5,44,7.28,534,,5
5/22/2000 12:00,9365.5,0.667,9084.2,126.9,0.284,0.085,8.85,1.92,28.6,51.3,7.37,550,,5
5/23/2000 12:00,9366.5,0.833,7872,80.4,0.214,0.07,8.07,1.37,31.6,54.7,6.8,573,,5
5/24/2000 04:00,9367.17,0.5,11746,218.9,0.429,0.093,9.16,1.84,27.2,46.8,6.66,524,,5
5/24/2000 12:00,9367.5,0.333,14768,154.6,0.334,0.084,10.3,1.8,28.5,48.5,7.39,547,,5
5/24/2000 20:00,9367.83,0.5,15866,212.5,0.359,0.085,10.89,1.65,29.1,49.6,7.75,562,,5
5/25/2000 12:00,9368.5,0.833,13145,168,0.325,0.082,9.98,1.65,30.5,54.1,7.71,582,,5
